"archivo_original","linea","funcion","responsabilidad_legacy","modulo_destino","tipo_migracion","nueva_ubicacion","dependencias","eventos_dom","eventos_custom","supabase_objetivos","supabase_operaciones","relacion_modulos"
"js\dashboard\dashboard-admin.js","549","setSidebarWidth","UI y experiencia de usuario","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/set-sidebar-width.tsx","localStorage","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","556","initSidebarWidthFromStorage","UI y experiencia de usuario","ADMIN DASHBOARD","React Hook","operations-platform/modules/admin-dashboard/src/hooks/use-init-sidebar-width-from-storage.ts","localStorage","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","564","ensureSidebarResizer","Autenticacion y sesion","ADMIN DASHBOARD","React Hook","operations-platform/modules/admin-dashboard/src/hooks/use-ensure-sidebar-resizer.ts","localStorage; window.Alarma","click; mousemove; mouseup; touchend; touchmove","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","734","initMap","Mapa, ruta y tracking","ADMIN DASHBOARD","React Hook","operations-platform/modules/admin-dashboard/src/hooks/use-init-map.ts","Leaflet","","","","","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","771","ensureMap","Mapa, ruta y tracking","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/ensure-map.tsx","","","","","","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","778","relocateFilters","Mapa, ruta y tracking","ADMIN DASHBOARD","React Hook","operations-platform/modules/admin-dashboard/src/hooks/use-relocate-filters.ts","","click; keydown","","","","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","832","toggleInlineFilters","Alarmas y check-in","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/toggle-inline-filters.ts","","","","","","ADMIN DASHBOARD; ALARM SYSTEM"
"js\dashboard\dashboard-admin.js","864","normPing","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/auth/src/utils/norm-ping.ts","","","","","","ADMIN DASHBOARD; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","878","beep","Mapa, ruta y tracking","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/beep.tsx","Timers","","","","","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","904","fetchRoute","Mapa, ruta y tracking","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/fetch-route.tsx","routerLocal OSRM","","","","","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","943","normalizeRouteResult","Mapa, ruta y tracking","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/normalize-route-result.tsx","","","","","","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","954","loadServices","Mapa, ruta y tracking","ADMIN DASHBOARD","Service Layer","operations-platform/services/supabase/src/admin/load-services.service.ts","Supabase Client; Supabase Query Builder","","","from:servicio; from:ubicacion","eq; maybeSingle; order; select","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","1047","formatTitle","Utilidad y control de flujo","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/format-title.tsx","","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","1056","fetchCustodiosMap","Mapa, ruta y tracking","ADMIN DASHBOARD","Service Layer","operations-platform/services/supabase/src/admin/fetch-custodios-map.service.ts","Supabase Client; Supabase Query Builder","","","from:servicio_custodio; from:v_ultimo_ping_por_custodia","in; select","ADMIN DASHBOARD; CUSTODIA MOBILE; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","1104","describeCustodios","Mapa, ruta y tracking","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/describe-custodios.tsx","","","","","","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","1115","buildTipoEtiquetaFromCustodias","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/build-tipo-etiqueta-from-custodias.ts","","","","","","ADMIN DASHBOARD; CUSTODIA MOBILE"
"js\dashboard\dashboard-admin.js","1143","getTipoEtiqueta","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/get-tipo-etiqueta.ts","","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","1149","updateServiceFlag","Alarmas y check-in","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/update-service-flag.ts","","","","","delete","ADMIN DASHBOARD; ALARM SYSTEM"
"js\dashboard\dashboard-admin.js","1164","updateLateReportFlags","Utilidad y control de flujo","ADMIN DASHBOARD","Zustand Store","operations-platform/modules/admin-dashboard/src/stores/use-admin-store.ts","","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","1184","evaluateLateReportState","Alarmas y check-in","ADMIN DASHBOARD","Zustand Store","operations-platform/modules/admin-dashboard/src/stores/use-admin-store.ts","","","","","","ADMIN DASHBOARD; ALARM SYSTEM"
"js\dashboard\dashboard-admin.js","1211","getCustodiaState","Utilidad y control de flujo","ADMIN DASHBOARD","Zustand Store","operations-platform/modules/admin-dashboard/src/stores/use-admin-store.ts","","","","","","ADMIN DASHBOARD; CUSTODIA MOBILE"
"js\dashboard\dashboard-admin.js","1216","computeCustodiaStatusForService","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/compute-custodia-status-for-service.ts","","","","","","ADMIN DASHBOARD; CUSTODIA MOBILE"
"js\dashboard\dashboard-admin.js","1271","applyCustodiaStatuses","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/apply-custodia-statuses.ts","","","","","","ADMIN DASHBOARD; CUSTODIA MOBILE"
"js\dashboard\dashboard-admin.js","1290","startCustodiaStatusTicker","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/start-custodia-status-ticker.ts","Timers","","","","","ADMIN DASHBOARD; CUSTODIA MOBILE"
"js\dashboard\dashboard-admin.js","1298","stopCustodiaStatusTicker","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/stop-custodia-status-ticker.ts","","","","","","ADMIN DASHBOARD; CUSTODIA MOBILE"
"js\dashboard\dashboard-admin.js","1305","updateNoReportBadge","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/update-no-report-badge.ts","","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","1317","getLateReportState","Utilidad y control de flujo","ADMIN DASHBOARD","Zustand Store","operations-platform/modules/admin-dashboard/src/stores/use-admin-store.ts","","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","1323","formatLateReportLabel","Utilidad y control de flujo","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/format-late-report-label.tsx","","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","1330","buildLateReportButton","Alarmas y check-in","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/build-late-report-button.tsx","","","","","","ADMIN DASHBOARD; ALARM SYSTEM"
"js\dashboard\dashboard-admin.js","1356","handleLateReportClick","Alarmas y check-in","ADMIN DASHBOARD","React Hook","operations-platform/modules/admin-dashboard/src/hooks/use-handle-late-report-click.ts","window.Alarma","","","","","ADMIN DASHBOARD; ALARM SYSTEM"
"js\dashboard\dashboard-admin.js","1384","setLateReportStatus","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/set-late-report-status.ts","","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","1392","scheduleLateReportRetry","Persistencia y consultas de datos","ADMIN DASHBOARD","Zustand Store","operations-platform/modules/admin-dashboard/src/stores/use-admin-store.ts","Timers","","","","delete","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","1402","clearLateReportTimer","Persistencia y consultas de datos","ADMIN DASHBOARD","Zustand Store","operations-platform/modules/admin-dashboard/src/stores/use-admin-store.ts","","","","","delete","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","1411","clearLateReport","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/clear-late-report.ts","","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","1416","buildLateReportPayload","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/build-late-report-payload.ts","","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","1436","renderAlertBadges","Autenticacion y sesion","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/render-alert-badges.tsx","","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","1458","renderList","Alarmas y check-in","ADMIN DASHBOARD","React Hook","operations-platform/modules/admin-dashboard/src/hooks/use-render-list.ts","","click","","","delete","ADMIN DASHBOARD; ALARM SYSTEM"
"js\dashboard\dashboard-admin.js","1573","refreshList","Utilidad y control de flujo","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/refresh-list.tsx","","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","1579","isNoReportModalOpen","UI y experiencia de usuario","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/is-no-report-modal-open.tsx","","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","1583","openNoReportModal","UI y experiencia de usuario","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/open-no-report-modal.tsx","","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","1590","closeNoReportModal","UI y experiencia de usuario","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/close-no-report-modal.tsx","","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","1596","renderNoReportList","Alarmas y check-in","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/render-no-report-list.tsx","","","","","","ADMIN DASHBOARD; ALARM SYSTEM"
"js\dashboard\dashboard-admin.js","1632","handleAdminAlertClick","Alarmas y check-in","ADMIN DASHBOARD","React Hook","operations-platform/modules/admin-dashboard/src/hooks/use-handle-admin-alert-click.ts","","","","","","ADMIN DASHBOARD; ALARM SYSTEM"
"js\dashboard\dashboard-admin.js","1655","buildAdminAlertPayload","Alarmas y check-in","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/build-admin-alert-payload.ts","","","","","","ADMIN DASHBOARD; ALARM SYSTEM"
"js\dashboard\dashboard-admin.js","1688","sendAdminAlert","Alarmas y check-in","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/send-admin-alert.ts","window.Alarma","","","","","ADMIN DASHBOARD; ALARM SYSTEM"
"js\dashboard\dashboard-admin.js","1700","selectService","Mapa, ruta y tracking","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/select-service.tsx","","","","","","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","1730","updateMarkers","Mapa, ruta y tracking","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/update-markers.tsx","Leaflet; Supabase Query Builder","","","","delete","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","1804","focusMarker","Mapa, ruta y tracking","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/focus-marker.tsx","Leaflet","","","","","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","1881","showDetails","Utilidad y control de flujo","ADMIN DASHBOARD","React Hook","operations-platform/modules/admin-dashboard/src/hooks/use-show-details.ts","","click","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","1931","finalizarServicio","Alarmas y check-in","ADMIN DASHBOARD","Service Layer","operations-platform/services/supabase/src/admin/finalizar-servicio.service.ts","Supabase Client; Supabase Query Builder","","","from:servicio","eq; update","ADMIN DASHBOARD; ALARM SYSTEM"
"js\dashboard\dashboard-admin.js","1965","initAlarmaIntegration","Alarmas y check-in","ADMIN DASHBOARD","React Hook","operations-platform/modules/admin-dashboard/src/hooks/use-init-alarma-integration.ts","Timers; window.Alarma","","","","","ADMIN DASHBOARD; ALARM SYSTEM"
"js\dashboard\dashboard-admin.js","1986","handleAlarmaEvent","Alarmas y check-in","ADMIN DASHBOARD","React Hook","operations-platform/modules/admin-dashboard/src/hooks/use-handle-alarma-event.ts","window.Alarma","","","","","ADMIN DASHBOARD; ALARM SYSTEM"
"js\dashboard\dashboard-admin.js","2080","normalizeRouteDeviationRecord","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/normalize-route-deviation-record.ts","","","","","","ADMIN DASHBOARD; MAP SYSTEM"
"js\dashboard\dashboard-admin.js","2106","handleRouteDeviation","Mapa, ruta y tracking","ADMIN DASHBOARD","React Hook","operations-platform/modules/admin-dashboard/src/hooks/use-handle-route-deviation.ts","","","","","","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","2125","showRouteAlert","Mapa, ruta y tracking","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/show-route-alert.tsx","","","","","","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","2143","dismissRouteAlert","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/dismiss-route-alert.ts","","","","","","ADMIN DASHBOARD; MAP SYSTEM"
"js\dashboard\dashboard-admin.js","2159","handleRouteAlertView","Mapa, ruta y tracking","ADMIN DASHBOARD","React Hook","operations-platform/modules/admin-dashboard/src/hooks/use-handle-route-alert-view.ts","","","","","","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","2182","fetchRutaClienteFeature","Mapa, ruta y tracking","ADMIN DASHBOARD","Service Layer","operations-platform/services/supabase/src/admin/fetch-ruta-cliente-feature.service.ts","Supabase Client; Supabase Query Builder","","","from:ruta_cliente","eq; maybeSingle; order; select","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","2220","drawRutaClienteFeature","Mapa, ruta y tracking","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/draw-ruta-cliente-feature.tsx","Leaflet","","","","","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","2256","ensureRutaClienteLayer","Mapa, ruta y tracking","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/ensure-ruta-cliente-layer.tsx","Leaflet","","","","","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","2264","clearRutaClienteLayer","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/clear-ruta-cliente-layer.ts","","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","2270","ensureServiceSelectedById","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/ensure-service-selected-by-id.ts","","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","2283","getClienteIdForServicio","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/get-cliente-id-for-servicio.ts","","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","2288","formatRouteMeta","Mapa, ruta y tracking","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/format-route-meta.tsx","","","","","","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","2308","normalizeRutaFeature","Mapa, ruta y tracking","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/normalize-ruta-feature.tsx","","","","","","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","2328","formatRelativeTimestamp","Mapa, ruta y tracking","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/format-relative-timestamp.tsx","","","","","","ADMIN DASHBOARD; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","2343","dismissPanicAlert","Alarmas y check-in","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/dismiss-panic-alert.ts","window.Alarma","","","","","ADMIN DASHBOARD; ALARM SYSTEM"
"js\dashboard\dashboard-admin.js","2352","reopenActivePanic","Alarmas y check-in","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/reopen-active-panic.tsx","window.Alarma","","","","","ADMIN DASHBOARD; ALARM SYSTEM"
"js\dashboard\dashboard-admin.js","2376","reopenRouteAlert","Utilidad y control de flujo","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/reopen-route-alert.tsx","","","","","","ADMIN DASHBOARD; MAP SYSTEM"
"js\dashboard\dashboard-admin.js","2386","focusPanicOnMap","Alarmas y check-in","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/focus-panic-on-map.tsx","Leaflet","","","","","ADMIN DASHBOARD; ALARM SYSTEM; MAP SYSTEM"
"js\dashboard\dashboard-admin.js","2422","ensurePanicLayer","Mapa, ruta y tracking","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/ensure-panic-layer.tsx","Leaflet","","","","","ADMIN DASHBOARD; ALARM SYSTEM; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","2430","clearPanicMarker","Mapa, ruta y tracking","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/clear-panic-marker.tsx","","","","","","ADMIN DASHBOARD; ALARM SYSTEM; MAP SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","2436","debounce","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/debounce.ts","Timers","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","2466","setupRealtime","Alarmas y check-in","ADMIN DASHBOARD","Service Layer","operations-platform/services/supabase/src/admin/setup-realtime.service.ts","Supabase Client; Supabase Query Builder","beforeunload","","channel:rt-servicio-admin; channel:rt-ubicacion-admin","","ADMIN DASHBOARD; ALARM SYSTEM; TRACKING SYSTEM"
"js\dashboard\dashboard-admin.js","2526","extractServicioIdFromEvent","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/extract-servicio-id-from-event.ts","","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-admin.js","2541","applyLateReportRemote","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/apply-late-report-remote.ts","","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-consulta.js","110","groupBy","Utilidad y control de flujo","ADMIN DASHBOARD","Utility Function","operations-platform/packages/ui/src/utils/group-by.ts","","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-consulta.js","122","setSidebarLoading","Utilidad y control de flujo","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/set-sidebar-loading.tsx","","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-consulta.js","127","showSidebarEmpty","UI y experiencia de usuario","ADMIN DASHBOARD","React Component","operations-platform/modules/admin-dashboard/src/components/show-sidebar-empty.tsx","","","","","","ADMIN DASHBOARD"
"js\dashboard\dashboard-consulta.js","135","clientInitial","Utilidad y control de flujo","ADMIN DASHBOARD","React Hook","operations-platform/modules/admin-dashboard/src/hooks/use-client-initial.ts","","","","","","ADMIN DASHBOARD"
